Agentur,Irrtum,0,n,n
Erwachsener,Geist,0,n,n
erwarten,klären,0,v,v
italienisch,vergehen,0,a,v
Kaffeetasse,parallel,0,n,a
lernen,gleichzeitig,0,v,a
Sohn,aussteigen,0,n,v
sportlich,Interior,0,a,n
suchen,Bundesbürger,0,v,n
Tag,Schreibtisch,0,n,n
Tastatur,Gott,0,n,n
Tod,ähneln,0,n,a
umklappen,Berlin-Kreuzberg,0,v,n
Unternehmen,Dieselversion,0,n,n
untersuchen,Benedikt,0,v,n
vergangen,weißblau,0,a,a
verhindert,Bayerisch,0,a,a
Volierenzelt,Erfolg,0,n,n
weit,Bewerbung,0,a,n
Widerspruch,Gebiet,0,n,n
Wien,Kopfairbag,0,n,n
Zebra,Stellenanzeige,0,n,n
Affe,Gepäckkontrolle,0.13,n,n
entgehen,bewundern,0.13,v,v
Formulierung,Stiftung,0.13,n,n
geografisch,praktisch,0.13,a,a
kämpfen,idyllisch,0.13,v,a
leben,hellen,0.13,v,v
Platz,aufgebläht,0.13,n,a
stark,Gehaltsunterschied,0.13,a,n
Steckdose,komplex,0.13,n,a
Steckdose,Stern,0.13,n,n
summieren,selbstbewusst,0.13,v,a
Tätigkeit,visuell,0.13,n,a
Traurigkeit,bekommen,0.13,n,v
Umfrage,Erfolg,0.13,n,n
Vatikan,ausgehen,0.13,n,v
verkaufen,fahren,0.13,v,v
versäumen,sagen,0.13,v,v
versäumen,überprüfen,0.13,v,v
versichern,Auftritt,0.13,v,n
Witz,Makake,0.13,n,n
Botschaft,sichtbar,0.25,n,a
folgen,sortieren,0.25,v,v
Krankheit,reißen,0.25,n,v
lassen,prägen,0.25,v,v
Sicherheit,klobig,0.25,n,a
Stoiber,drehfreudig,0.25,n,a
Studium,Deutscher,0.25,n,n
Suchmaschinenbetreiber,Eleganz,0.25,n,n
Suchstrategie,Optik,0.25,n,n
Tag,demütig,0.25,n,a
teuer,Symbol,0.25,a,n
Tier,Röntgenaufnahme,0.25,n,n
Van,Vorschrift,0.25,n,n
verschicken,Rede,0.25,v,n
vorankommen,Grundpreis,0.25,v,n
weit,erklären,0.25,a,v
Witz,Gepäckkontrolle,0.25,n,n
Zielstrebigkeit,ablehnen,0.25,n,v
Gewicht,Karriere,0.38,n,n
kämpfen,Veterinär,0.38,v,n
kühl,hübsch,0.38,a,a
Lebensbedürfnis,ansiedeln,0.38,n,v
sportlich,teuer,0.38,a,a
Stellenangebot,sehen,0.38,n,v
Untersuchungsausschuss,umfassen,0.38,n,v
viel,schreiben,0.38,a,v
Wirtschaftsprofessor,Irrtum,0.38,n,n
erklären,machen,0.5,v,v
Gegenwind,kritisieren,0.5,n,v
Geschirrdurcheinander,Menschenleben,0.5,n,n
Glaube,natürlich,0.5,n,a
großzügig,schrumpfen,0.5,a,v
herausstreichen,öffentlich,0.5,v,a
pädagogisch,weitläufig,0.5,a,a
Sandwich-Konzept,Sicherheit,0.5,n,n
Selbstinszenierung,Beziehungsarbeit,0.5,n,n
Stellenanzeige,rasch,0.5,n,a
Studium,Europa,0.5,n,n
Tierpark,Grafik,0.5,n,n
überzeugen,Mitschuld,0.5,v,n
versichern,bedauern,0.5,v,v
Kulturwissenschaft,Grafiker,0.63,n,n
Tag,sichtbar,0.63,n,a
Tastatur,Suche,0.63,n,n
Überzeugung,übertreiben,0.63,n,v
Wirtschaftsuniversität,historisch,0.63,n,a
gründen,Arbeitsgruppe,0.75,v,n
veranstalten,dauern,0.75,v,v
verhindert,Beihilfe,0.75,a,n
Vernehmung,bedrohen,0.75,n,v
Ansehen,Schaden,0.88,n,n
begründen,ausgehen,0.88,v,v
schließen,Überlegung,0.88,v,n
Seitenansicht,A-Säule,0.88,n,n
Studium,Gegenstand,0.88,n,n
summieren,teuer,0.88,v,a
Afrika,historisch,1,n,a
Erhalt,bedroht,1,n,a
gemeinsam,leben,1,a,v
heimisch,Urwaldhaus,1,a,n
Karriere,Risiko,1,n,n
Vergangenheit,Deutschland,1,n,n
Welle,Schaden,1,n,n
beschleunigen,übertreiben,1.13,v,v
legen,Tisch,1.13,v,n
Punktverlust,Platz,1.13,n,n
Spitze,allein,1.13,n,a
Traurigkeit,Heimgang,1.13,n,n
Widerspruch,Analyse,1.13,n,n
Witz,Kopf,1.13,n,n
Erfolg,Maßstab,1.25,n,n
Frühlingssonne,kitzeln,1.25,n,v
Gorilla,Schlange,1.25,n,n
laufen,bleiben,1.25,v,v
moderat,extra,1.25,a,a
modern,sportlich,1.25,a,a
Aussage,Auftritt,1.38,n,n
Besucher,bekommen,1.38,n,v
Bild,ähneln,1.38,n,v
Eleganz,klobig,1.38,n,a
erst,Ursprugsort,1.38,a,n
Hand,Erwachsener,1.38,n,n
Herkunft,Geschlecht,1.38,n,n
momentan,kommend,1.38,a,v
veranstalten,betreuen,1.38,v,v
Mann,Geschäftspartner,1.5,n,n
Pinguin,baden,1.5,n,v
Tag,Leben,1.5,n,n
überzeugen,zeigen,1.5,v,v
weit,wegrennen,1.5,a,v
Grundlagenforschung,verstehen,1.63,n,v
lachen,leben,1.63,v,v
Niedersachsen,Landesverband,1.63,n,n
niederschmetternd,positiv,1.63,a,a
Premium-Hersteller,Opel,1.63,n,n
Sicherheit,Frontalkollision,1.63,n,n
Studierende,Abteilung,1.63,n,n
umklappen,flachlegen,1.63,v,v
Drehmoment,drehfreudig,1.75,n,a
Gefühl,Frau,1.75,n,n
parallel,linear,1.75,a,a
Suchmaschinenbetreiber,Linkstatistik,1.75,n,n
Wirtschaftsuniversität,Abteilung,1.75,n,n
Absage,Stellenanzeige,1.88,n,n
demütig,selbstbewusst,1.88,a,a
Doktorandin,Abteilung,1.88,n,n
Frust,Leidensgenosse,1.88,n,n
Frust,Rache,1.88,n,n
stark,Kämpfer,1.88,a,n
Studie,Dissertationsthema,1.88,n,n
Untersuchungsausschuss,aussagen,1.88,n,v
Böse,Gott,2,n,n
Einkommen,Gehaltsunterschied,2,n,n
ernst,ironisch,2,a,a
Hintergrund,Fassade,2,n,n
Karriere,hinaufklettern,2,n,v
Krebserkennung,Röntgenaufnahme,2,n,n
Lupe,suchen,2,n,v
Mehrarbeit,Workaholic,2,n,n
Premium-Hersteller,VW,2,n,n
Projekt,Aktion,2,n,n
Vergangenheit,alte,2,n,a
viel,groß,2,a,a
Aussterben,bedrohen,2.13,n,v
Berufstätigkeit,Erfolg,2.13,n,n
Bild,Symbol,2.13,n,n
Form,Farbe,2.13,n,n
Gehirn,verstehen,2.13,n,v
Inaugurationsmesse,Premiere,2.13,n,n
sachlich,Seriosität,2.13,a,n
sagen,erklären,2.13,v,v
Schleusung,Betrugshandlung,2.13,n,n
serienmäßig,extra,2.13,a,a
Gepäcknetz,Staumöglichkeit,2.25,n,n
Marktl,Bayern,2.25,n,n
Monate,alt,2.25,n,a
Spitze,hoch,2.25,n,a
Stellenangebot,Wochenzeitung,2.25,n,n
